"","x"
"1",2014-01-07
"2",2014-01-08
"3",2014-01-09
"4",2014-01-10
"5",2014-01-13
"6",2014-01-14
"7",2014-01-15
"8",2014-01-16
"9",2014-01-17
"10",2014-01-20
"11",2014-01-21
"12",2014-01-22
"13",2014-01-23
"14",2014-01-24
"15",2014-01-27
"16",2014-01-28
"17",2014-01-29
"18",2014-01-30
"19",2014-01-31
"20",2014-02-03
"21",2014-02-04
"22",2014-02-05
"23",2014-02-06
"24",2014-02-07
"25",2014-02-10
"26",2014-02-11
"27",2014-02-12
"28",2014-02-13
"29",2014-02-14
"30",2014-02-17
"31",2014-02-18
"32",2014-02-19
"33",2014-02-20
"34",2014-02-21
"35",2014-02-24
"36",2014-02-25
"37",2014-02-26
"38",2014-02-27
"39",2014-02-28
"40",2014-03-03
"41",2014-03-04
"42",2014-03-05
"43",2014-03-06
"44",2014-03-07
"45",2014-03-10
"46",2014-03-11
"47",2014-03-12
"48",2014-03-13
"49",2014-03-14
"50",2014-03-17
"51",2014-03-18
"52",2014-03-19
"53",2014-03-20
"54",2014-03-21
"55",2014-03-24
"56",2014-03-25
"57",2014-03-26
"58",2014-03-27
"59",2014-03-28
"60",2014-03-31
"61",2014-04-01
"62",2014-04-02
"63",2014-04-03
"64",2014-04-04
"65",2014-04-07
"66",2014-04-08
"67",2014-04-09
"68",2014-04-10
"69",2014-04-11
"70",2014-04-14
"71",2014-04-15
"72",2014-04-16
"73",2014-04-17
"74",2014-04-18
"75",2014-04-21
"76",2014-04-22
"77",2014-04-23
"78",2014-04-24
"79",2014-04-25
"80",2014-04-28
"81",2014-04-29
"82",2014-04-30
"83",2014-05-01
"84",2014-05-02
"85",2014-05-05
"86",2014-05-06
"87",2014-05-07
"88",2014-05-08
"89",2014-05-09
"90",2014-05-12
"91",2014-05-13
"92",2014-05-14
"93",2014-05-15
"94",2014-05-16
"95",2014-05-19
"96",2014-05-20
"97",2014-05-21
"98",2014-05-22
"99",2014-05-23
"100",2014-05-26
"101",2014-05-27
"102",2014-05-28
"103",2014-05-29
"104",2014-05-30
"105",2014-06-02
"106",2014-06-03
"107",2014-06-04
"108",2014-06-05
"109",2014-06-06
"110",2014-06-09
"111",2014-06-10
"112",2014-06-11
"113",2014-06-12
"114",2014-06-13
"115",2014-06-16
"116",2014-06-17
"117",2014-06-18
"118",2014-06-19
"119",2014-06-20
"120",2014-06-23
"121",2014-06-24
"122",2014-06-25
"123",2014-06-26
"124",2014-06-27
"125",2014-06-30
"126",2014-07-01
"127",2014-07-02
"128",2014-07-03
"129",2014-07-04
"130",2014-07-07
"131",2014-07-08
"132",2014-07-09
"133",2014-07-10
"134",2014-07-11
"135",2014-07-14
"136",2014-07-15
"137",2014-07-16
"138",2014-07-17
"139",2014-07-18
"140",2014-07-21
"141",2014-07-22
"142",2014-07-23
"143",2014-07-24
"144",2014-07-25
"145",2014-07-28
"146",2014-07-29
"147",2014-07-30
"148",2014-07-31
"149",2014-08-01
"150",2014-08-04
"151",2014-08-05
"152",2014-08-06
"153",2014-08-07
"154",2014-08-08
"155",2014-08-11
"156",2014-08-12
"157",2014-08-13
"158",2014-08-14
"159",2014-08-15
"160",2014-08-18
"161",2014-08-19
"162",2014-08-20
"163",2014-08-21
"164",2014-08-22
"165",2014-08-25
"166",2014-08-26
"167",2014-08-27
"168",2014-08-28
"169",2014-08-29
"170",2014-09-01
"171",2014-09-02
"172",2014-09-03
"173",2014-09-04
"174",2014-09-05
"175",2014-09-08
"176",2014-09-09
"177",2014-09-10
"178",2014-09-11
"179",2014-09-12
"180",2014-09-15
"181",2014-09-16
"182",2014-09-17
"183",2014-09-18
"184",2014-09-19
"185",2014-09-22
"186",2014-09-23
"187",2014-09-24
"188",2014-09-25
"189",2014-09-26
"190",2014-09-29
"191",2014-09-30
"192",2014-10-01
"193",2014-10-02
"194",2014-10-03
"195",2014-10-06
"196",2014-10-07
"197",2014-10-08
"198",2014-10-09
"199",2014-10-10
"200",2014-10-13
"201",2014-10-14
"202",2014-10-15
"203",2014-10-16
"204",2014-10-17
"205",2014-10-20
"206",2014-10-21
"207",2014-10-22
"208",2014-10-23
"209",2014-10-24
"210",2014-10-27
"211",2014-10-28
"212",2014-10-29
"213",2014-10-30
"214",2014-10-31
"215",2014-11-03
"216",2014-11-04
"217",2014-11-05
"218",2014-11-06
"219",2014-11-07
"220",2014-11-10
"221",2014-11-11
"222",2014-11-12
"223",2014-11-13
"224",2014-11-14
"225",2014-11-17
"226",2014-11-18
"227",2014-11-19
"228",2014-11-20
"229",2014-11-21
"230",2014-11-24
"231",2014-11-25
"232",2014-11-26
"233",2014-11-27
"234",2014-11-28
"235",2014-12-01
"236",2014-12-02
"237",2014-12-03
"238",2014-12-04
"239",2014-12-05
"240",2014-12-08
"241",2014-12-09
"242",2014-12-10
"243",2014-12-11
"244",2014-12-12
"245",2014-12-15
"246",2014-12-16
"247",2014-12-17
"248",2014-12-18
"249",2014-12-19
"250",2014-12-22
"251",2014-12-23
"252",2014-12-24
"253",2014-12-25
"254",2014-12-26
"255",2014-12-29
"256",2014-12-30
"257",2014-12-31
"258",2015-01-01
"259",2015-01-02
"260",2015-01-05
"261",2015-01-06
"262",2015-01-07
"263",2015-01-08
"264",2015-01-09
"265",2015-01-12
"266",2015-01-13
"267",2015-01-14
"268",2015-01-15
"269",2015-01-16
"270",2015-01-19
"271",2015-01-20
"272",2015-01-21
"273",2015-01-22
"274",2015-01-23
"275",2015-01-26
"276",2015-01-27
"277",2015-01-28
"278",2015-01-29
"279",2015-01-30
"280",2015-02-02
"281",2015-02-03
"282",2015-02-04
"283",2015-02-05
"284",2015-02-06
"285",2015-02-09
"286",2015-02-10
"287",2015-02-11
"288",2015-02-12
"289",2015-02-13
"290",2015-02-16
"291",2015-02-17
"292",2015-02-18
"293",2015-02-19
"294",2015-02-20
"295",2015-02-23
"296",2015-02-24
"297",2015-02-25
"298",2015-02-26
"299",2015-02-27
"300",2015-03-02
"301",2015-03-03
"302",2015-03-04
"303",2015-03-05
"304",2015-03-06
"305",2015-03-09
"306",2015-03-10
"307",2015-03-11
"308",2015-03-12
"309",2015-03-13
"310",2015-03-16
"311",2015-03-17
"312",2015-03-18
"313",2015-03-19
"314",2015-03-20
"315",2015-03-23
"316",2015-03-24
"317",2015-03-25
"318",2015-03-26
"319",2015-03-27
"320",2015-03-30
"321",2015-03-31
"322",2015-04-01
"323",2015-04-02
"324",2015-04-03
"325",2015-04-06
"326",2015-04-07
"327",2015-04-08
"328",2015-04-09
